detector_date,site
SM1_20110714,GRACR
SM1_20110715,GRACR
SM1_20110716,GRACR
SM1_20110717,GRYOR
SM1_20110718,GRYOR
SM1_20110719,GRYOR
SM1_20110720,GRYOR
SM1_20110721,FNSUR
SM1_20110722,FNSUR
SM1_20110723,FNSUR
SM1_20110724,SMMIR
SM1_20110725,SMMIR
SM1_20110726,SMMIR
SM1_20110727,SMMIR
SM1_20110728,RILAR
SM1_20110729,RILAR
SM1_20110730,RILAR
SM1_20110731,RILAR
SM1_20110803,CLAMX
SM1_20110804,CLAMX
SM1_20110805,CLAMX
SM1_20110806,FOGAR
SM1_20110807,FOGAR
SM1_20110808,FOGAR
SM1_20110809,FOGAR
SM1_20110810,FOGAR
SM1_20110811,FOGAR
SM1_20110812,FOGAR
SM1_20110813,PIKAP
SM1_20110814,PIKAP
SM1_20110815,PIKAP
SM1_20110816,PIKAP
SM1_20110817,BECKP
SM1_20110818,BECKP
SM1_20110819,BECKP
SM1_20110820,JPHRX
SM1_20110821,JPHRX
SM1_20110822,JPHRX
SM1_20110823,COLAP
SM1_20110824,COLAP
SM1_20110825,COLAP
SM1_20110826,COLAP
SM1_20110827,CLAMP
SM1_20110828,CLAMP
SM1_20110829,CLAMP
SM2_20110714,GRCAR
SM2_20110715,GRCAR
SM2_20110716,GRCAR
SM2_20110717,NCTCR
SM2_20110718,NCTCR
SM2_20110719,NCTCR
SM2_20110720,NCTCR
SM2_20110721,FNSUP
SM2_20110722,FNSUP
SM2_20110723,FNSUP
SM2_20110724,SMMIX
SM2_20110725,SMMIX
SM2_20110726,SMMIX
SM2_20110727,SMMIX
SM2_20110728,RIWRR
SM2_20110729,RIWRR
SM2_20110730,RIWRR
SM2_20110731,RIWRR
SM2_20110803,CLAMR
SM2_20110804,CLAMR
SM2_20110805,CLAMR
SM2_20110806,GRYOP
SM2_20110807,GRYOP
SM2_20110808,GRYOP
SM2_20110809,GRYOP
SM2_20110810,GRYOP
SM2_20110811,GRYOP
SM2_20110812,GRYOP
SM2_20110813,PIKAR
SM2_20110814,PIKAR
SM2_20110815,PIKAR
SM2_20110816,PIKAR
SM2_20110817,BECKR
SM2_20110818,BECKR
SM2_20110819,BECKR
SM2_20110820,JPHRR
SM2_20110821,JPHRR
SM2_20110822,JPHRR
SM2_20110823,COLAR
SM2_20110824,COLAR
SM2_20110825,COLAR
SM2_20110826,COLAR
