path,folder,pass,ncalls,qual,ANPA,EPFU,MYEV,MYTH,LANO,LACI,MYCA,LABL,PAHE,MYLU,MYVO,TABR,MYYU,COTO,EUPE
n:\data_vineyards\data_vineyards_2011\data_vineyards_2011_zx\M1-R1_ZC\,M1-R1_ZC,SM1_0_20110714_213435_531.00#,21.0,0.273333333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
n:\data_vineyards\data_vineyards_2011\data_vineyards_2011_zx\M1-R1_ZC\,M1-R1_ZC,SM1_0_20110714_230150_383.00#,9.0,0.33,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
n:\data_vineyards\data_vineyards_2011\data_vineyards_2011_zx\M1-R1_ZC\,M1-R1_ZC,SM1_0_20110715_014037_778.00#,17.0,0.385882352941,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
n:\data_vineyards\data_vineyards_2011\data_vineyards_2011_zx\M1-R1_ZC\,M1-R1_ZC,SM1_0_20110715_031757_145.00#,5.0,0.378,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
n:\data_vineyards\data_vineyards_2011\data_vineyards_2011_zx\M1-R1_ZC\,M1-R1_ZC,SM1_0_20110715_033949_246.00#,4.0,0.3975,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
n:\data_vineyards\data_vineyards_2011\data_vineyards_2011_zx\M1-R1_ZC\,M1-R1_ZC,SM1_0_20110715_041736_261.00#,37.0,0.227297297297,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
n:\data_vineyards\data_vineyards_2011\data_vineyards_2011_zx\M1-R1_ZC\,M1-R1_ZC,SM1_0_20110715_042513_363.00#,5.0,0.324,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
n:\data_vineyards\data_vineyards_2011\data_vineyards_2011_zx\M1-R1_ZC\,M1-R1_ZC,SM1_0_20110715_042521_100.00#,2.0,0.315,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
n:\data_vineyards\data_vineyards_2011\data_vineyards_2011_zx\M1-R1_ZC\,M1-R1_ZC,SM1_0_20110715_043452_357.00#,4.0,0.28,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
n:\data_vineyards\data_vineyards_2011\data_vineyards_2011_zx\M1-R1_ZC\,M1-R1_ZC,SM1_0_20110715_044329_142.00#,43.0,0.353953488372,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
n:\data_vineyards\data_vineyards_2011\data_vineyards_2011_zx\M1-R1_ZC\,M1-R1_ZC,SM1_0_20110715_051543_476.00#,5.0,0.356,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
n:\data_vineyards\data_vineyards_2011\data_vineyards_2011_zx\M1-R1_ZC\,M1-R1_ZC,SM1_0_20110715_051551_400.00#,14.0,0.319285714286,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
n:\data_vineyards\data_vineyards_2011\data_vineyards_2011_zx\M1-R1_ZC\,M1-R1_ZC,SM1_0_20110715_212424_694.00#,10.0,0.299,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
n:\data_vineyards\data_vineyards_2011\data_vineyards_2011_zx\M1-R1_ZC\,M1-R1_ZC,SM1_0_20110715_214228_761.00#,19.0,0.268947368421,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
n:\data_vineyards\data_vineyards_2011\data_vineyards_2011_zx\M1-R1_ZC\,M1-R1_ZC,SM1_0_20110715_215304_460.00#,1.0,0.47,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
n:\data_vineyards\data_vineyards_2011\data_vineyards_2011_zx\M1-R1_ZC\,M1-R1_ZC,SM1_0_20110715_220140_332.00#,2.0,0.22,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
n:\data_vineyards\data_vineyards_2011\data_vineyards_2011_zx\M1-R1_ZC\,M1-R1_ZC,SM1_0_20110715_223704_746.00#,9.0,0.268888888889,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
n:\data_vineyards\data_vineyards_2011\data_vineyards_2011_zx\M1-R1_ZC\,M1-R1_ZC,SM1_0_20110715_225242_904.00#,8.0,0.3275,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
n:\data_vineyards\data_vineyards_2011\data_vineyards_2011_zx\M1-R1_ZC\,M1-R1_ZC,SM1_0_20110716_001756_228.00#,14.0,0.268571428571,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
n:\data_vineyards\data_vineyards_2011\data_vineyards_2011_zx\M1-R1_ZC\,M1-R1_ZC,SM1_0_20110716_003614_374.00#,1.0,0.56,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
n:\data_vineyards\data_vineyards_2011\data_vineyards_2011_zx\M1-R1_ZC\,M1-R1_ZC,SM1_0_20110716_015003_989.00#,8.0,0.31375,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
n:\data_vineyards\data_vineyards_2011\data_vineyards_2011_zx\M1-R1_ZC\,M1-R1_ZC,SM1_0_20110716_211350_355.00#,1.0,0.3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
n:\data_vineyards\data_vineyards_2011\data_vineyards_2011_zx\M1-R1_ZC\,M1-R1_ZC,SM1_0_20110716_212447_508.00#,2.0,0.53,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
n:\data_vineyards\data_vineyards_2011\data_vineyards_2011_zx\M1-R1_ZC\,M1-R1_ZC,SM1_0_20110716_212454_489.00#,3.0,0.326666666667,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
n:\data_vineyards\data_vineyards_2011\data_vineyards_2011_zx\M1-R1_ZC\,M1-R1_ZC,SM1_0_20110716_212501_100.00#,1.0,0.29,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
n:\data_vineyards\data_vineyards_2011\data_vineyards_2011_zx\M1-R1_ZC\,M1-R1_ZC,SM1_0_20110716_212507_700.00#,3.0,0.416666666667,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
n:\data_vineyards\data_vineyards_2011\data_vineyards_2011_zx\M1-R1_ZC\,M1-R1_ZC,SM1_0_20110716_213140_008.00#,22.0,0.295,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
n:\data_vineyards\data_vineyards_2011\data_vineyards_2011_zx\M1-R1_ZC\,M1-R1_ZC,SM1_0_20110716_214728_308.00#,6.0,0.266666666667,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
n:\data_vineyards\data_vineyards_2011\data_vineyards_2011_zx\M1-R1_ZC\,M1-R1_ZC,SM1_0_20110716_214924_945.00#,23.0,0.337826086957,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
n:\data_vineyards\data_vineyards_2011\data_vineyards_2011_zx\M1-R1_ZC\,M1-R1_ZC,SM1_0_20110716_220802_224.00#,5.0,0.324,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
n:\data_vineyards\data_vineyards_2011\data_vineyards_2011_zx\M1-R1_ZC\,M1-R1_ZC,SM1_0_20110716_225859_222.00#,19.0,0.220526315789,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
n:\data_vineyards\data_vineyards_2011\data_vineyards_2011_zx\M1-R1_ZC\,M1-R1_ZC,SM1_0_20110717_014030_874.00#,20.0,0.2925,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
n:\data_vineyards\data_vineyards_2011\data_vineyards_2011_zx\M1-R1_ZC\,M1-R1_ZC,SM1_0_20110717_022058_963.00#,5.0,0.256,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
n:\data_vineyards\data_vineyards_2011\data_vineyards_2011_zx\M1-R1_ZC\,M1-R1_ZC,SM1_0_20110717_040934_369.00#,4.0,0.3125,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
n:\data_vineyards\data_vineyards_2011\data_vineyards_2011_zx\M1-R1_ZC\,M1-R1_ZC,SM1_0_20110717_043035_518.00#,1.0,0.49,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
n:\data_vineyards\data_vineyards_2011\data_vineyards_2011_zx\M1-R1_ZC\,M1-R1_ZC,SM1_0_20110717_043117_465.00#,1.0,0.43,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
n:\data_vineyards\data_vineyards_2011\data_vineyards_2011_zx\M1-R1_ZC\,M1-R1_ZC,SM2_0_20110714_211708_715.00#,24.0,0.2575,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
n:\data_vineyards\data_vineyards_2011\data_vineyards_2011_zx\M1-R1_ZC\,M1-R1_ZC,SM2_0_20110714_212024_680.00#,12.0,0.336666666667,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
n:\data_vineyards\data_vineyards_2011\data_vineyards_2011_zx\M1-R1_ZC\,M1-R1_ZC,SM2_0_20110714_214452_113.00#,5.0,0.416,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
n:\data_vineyards\data_vineyards_2011\data_vineyards_2011_zx\M1-R1_ZC\,M1-R1_ZC,SM2_0_20110714_214722_300.00#,1.0,0.63,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
