path,folder,pass,ncalls,qual,ANPA,EPFU,MYEV,MYTH,LANO,LACI,MYCA,LABL,PAHE,MYLU,MYVO,TABR,MYYU,COTO,EUPE
n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM1_0_20120609_205528_585.00#,1.0,0.42,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM1_0_20120609_211457_151.00#,31.0,0.254193548387,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM1_0_20120609_215617_789.00#,7.0,0.288571428571,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM1_0_20120609_215650_890.00#,1.0,0.48,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM1_0_20120610_031135_041.00#,3.0,0.29,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM1_0_20120610_031142_700.00#,1.0,0.34,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM1_0_20120610_204908_316.00#,8.0,0.28,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM1_0_20120610_205753_375.00#,1.0,0.23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM1_0_20120610_205907_282.00#,5.0,0.264,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM1_0_20120610_210649_016.00#,4.0,0.2275,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM1_0_20120610_210714_920.00#,4.0,0.38,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM1_0_20120610_212209_290.00#,1.0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM1_0_20120611_001045_338.00#,7.0,0.328571428571,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM1_0_20120611_205733_324.00#,13.0,0.298461538462,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM1_0_20120611_210239_542.00#,2.0,0.25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM1_0_20120611_210543_618.00#,7.0,0.371428571429,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM1_0_20120611_210631_140.00#,10.0,0.348,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM1_0_20120611_210652_640.00#,3.0,0.456666666667,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM1_0_20120611_210702_026.00#,12.0,0.293333333333,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM1_0_20120611_210729_986.00#,7.0,0.365714285714,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM1_0_20120611_211004_864.00#,10.0,0.3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM1_0_20120611_211134_199.00#,1.0,0.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM1_0_20120611_211939_728.00#,17.0,0.24,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM1_0_20120611_214245_142.00#,4.0,0.2875,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM1_0_20120612_205204_716.00#,1.0,0.62,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM1_0_20120612_205929_502.00#,8.0,0.2575,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM1_0_20120613_011231_536.00#,3.0,0.273333333333,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
