folder,pass,date,detector_date,ncalls,qual,ANPA,EPFU,MYEV,MYTH,LANO,LACI,MYCA,LABL,PAHE,MYLU,MYVO,TABR,MYYU,COTO,EUPE
M1-R1_ZC,SM1_0_20110714_213435_531.00#,20110714,SM1_20110714,21,0.273333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M1-R1_ZC,SM1_0_20110714_230150_383.00#,20110714,SM1_20110714,9,0.33,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
M1-R1_ZC,SM1_0_20110715_014037_778.00#,20110714,SM1_20110714,17,0.385882353,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
M1-R1_ZC,SM1_0_20110715_031757_145.00#,20110714,SM1_20110714,5,0.378,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
M1-R1_ZC,SM1_0_20110715_033949_246.00#,20110714,SM1_20110714,4,0.3975,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
M1-R1_ZC,SM1_0_20110715_041736_261.00#,20110714,SM1_20110714,37,0.227297297,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
M1-R1_ZC,SM1_0_20110715_042513_363.00#,20110714,SM1_20110714,5,0.324,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
M1-R1_ZC,SM1_0_20110715_042521_100.00#,20110714,SM1_20110714,2,0.315,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
M1-R1_ZC,SM1_0_20110715_043452_357.00#,20110714,SM1_20110714,4,0.28,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
M1-R1_ZC,SM1_0_20110715_044329_142.00#,20110714,SM1_20110714,43,0.353953488,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
M1-R1_ZC,SM1_0_20110715_051543_476.00#,20110714,SM1_20110714,5,0.356,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
M1-R1_ZC,SM1_0_20110715_051551_400.00#,20110714,SM1_20110714,14,0.319285714,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
M1-R1_ZC,SM1_0_20110715_212424_694.00#,20110715,SM1_20110715,10,0.299,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M1-R1_ZC,SM1_0_20110715_214228_761.00#,20110715,SM1_20110715,19,0.268947368,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M1-R1_ZC,SM1_0_20110715_215304_460.00#,20110715,SM1_20110715,1,0.47,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M1-R1_ZC,SM1_0_20110715_220140_332.00#,20110715,SM1_20110715,2,0.22,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
M1-R1_ZC,SM1_0_20110715_223704_746.00#,20110715,SM1_20110715,9,0.268888889,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
