site,20110714,20110802,20110818
BECKP,2,9,6.4
BECKR,2,9,6.4
CLAMP,5,NA,5.8
CLAMR,5,NA,5.8
CLAMX,5,NA,5.8
COHOP,NA,NA,NA
COHOR,NA,NA,NA
COHOX,NA,NA,NA
COLAP,43.8,40,10.6
COLAR,43.8,40,10.6
COWAP,0.8,0.8,0.8
COWAR,0.8,0.8,0.8
FNSUP,1,1.8,0.8
FNSUR,1,1.8,0.8
FOGAR,20.6,23.4,17.4
GRACR,14.2,21.6,16
GRCAR,1.2,0.4,0
GRRUR,16,22.4,13.8
GRYOP,0.8,2.2,1
GRYOR,0.8,2.2,1
HOCRP,53.4,89.6,34.2
HOCRR,53.4,89.6,34.2
HYDER,2,0,0
JPBDR,12.2,8.6,13.8
JPHRP,7.6,4.4,3.6
JPHRR,7.6,4.4,3.6
JPHRX,7.6,4.4,3.6
NCTBR,12.6,24,20.8
NCTCR,10.6,18.4,11
PIKAP,20.4,17.4,16.2
PIKAR,20.4,17.4,16.2
RILAR,19,29.2,14
RIWRR,9.4,7.2,3
SMMIP,3.8,9.8,5
SMMIR,3.8,9.8,5
SMMIX,3.8,9.8,5
