,site,date,detector_date,bug_date,bug_count
3,BECKP,20110721,SM6_20110721,20110714,2
4,BECKP,20110722,SM6_20110722,20110714,2
5,BECKP,20110723,SM6_20110723,20110714,2
9,BECKR,20110721,SM5_20110721,20110714,2
10,BECKR,20110722,SM5_20110722,20110714,2
11,BECKR,20110723,SM5_20110723,20110714,2
68,COWAP,20110714,SM6_20110714,20110714,0.8
69,COWAP,20110715,SM6_20110715,20110714,0.8
70,COWAP,20110716,SM6_20110716,20110714,0.8
75,COWAR,20110714,SM5_20110714,20110714,0.8
76,COWAR,20110715,SM5_20110715,20110714,0.8
77,COWAR,20110716,SM5_20110716,20110714,0.8
78,FNSUP,20110721,SM2_20110721,20110714,1
79,FNSUP,20110722,SM2_20110722,20110714,1
80,FNSUP,20110723,SM2_20110723,20110714,1
84,FNSUR,20110721,SM1_20110721,20110714,1
85,FNSUR,20110722,SM1_20110722,20110714,1
86,FNSUR,20110723,SM1_20110723,20110714,1
97,FOGAR,20110714,SM4_20110714,20110714,20.6
98,FOGAR,20110715,SM4_20110715,20110714,20.6
99,FOGAR,20110716,SM4_20110716,20110714,20.6
100,GRACR,20110714,SM1_20110714,20110714,14.2
101,GRACR,20110715,SM1_20110715,20110714,14.2
102,GRACR,20110716,SM1_20110716,20110714,14.2
110,GRCAR,20110714,SM2_20110714,20110714,1.2
111,GRCAR,20110715,SM2_20110715,20110714,1.2
112,GRCAR,20110716,SM2_20110716,20110714,1.2
123,GRRUR,20110721,SM4_20110721,20110714,16
124,GRRUR,20110722,SM4_20110722,20110714,16
125,GRRUR,20110723,SM4_20110723,20110714,16
133,GRYOP,20110717,SM4_20110717,20110714,0.8
134,GRYOP,20110718,SM4_20110718,20110714,0.8
135,GRYOP,20110719,SM4_20110719,20110714,0.8
136,GRYOP,20110720,SM4_20110720,20110714,0.8
137,GRYOR,20110717,SM1_20110717,20110714,0.8
138,GRYOR,20110718,SM1_20110718,20110714,0.8
139,GRYOR,20110719,SM1_20110719,20110714,0.8
140,GRYOR,20110720,SM1_20110720,20110714,0.8
164,HYDER,20110714,SM3_20110714,20110714,2
165,HYDER,20110715,SM3_20110715,20110714,2
166,HYDER,20110716,SM3_20110716,20110714,2
171,JPBDR,20110721,SM3_20110721,20110714,12.2
172,JPBDR,20110722,SM3_20110722,20110714,12.2
173,JPBDR,20110723,SM3_20110723,20110714,12.2
197,NCTBR,20110717,SM3_20110717,20110714,12.6
198,NCTBR,20110718,SM3_20110718,20110714,12.6
199,NCTBR,20110719,SM3_20110719,20110714,12.6
200,NCTBR,20110720,SM3_20110720,20110714,12.6
208,NCTCR,20110717,SM2_20110717,20110714,10.6
209,NCTCR,20110718,SM2_20110718,20110714,10.6
210,NCTCR,20110719,SM2_20110719,20110714,10.6
211,NCTCR,20110720,SM2_20110720,20110714,10.6
220,PIKAP,20110717,SM6_20110717,20110714,20.4
221,PIKAP,20110718,SM6_20110718,20110714,20.4
222,PIKAP,20110719,SM6_20110719,20110714,20.4
223,PIKAP,20110720,SM6_20110720,20110714,20.4
228,PIKAR,20110717,SM5_20110717,20110714,20.4
229,PIKAR,20110718,SM5_20110718,20110714,20.4
230,PIKAR,20110719,SM5_20110719,20110714,20.4
231,PIKAR,20110720,SM5_20110720,20110714,20.4
15,CLAMP,20110803,SM5_20110803,20110802,
16,CLAMP,20110804,SM5_20110804,20110802,
17,CLAMP,20110805,SM5_20110805,20110802,
18,CLAMR,20110803,SM2_20110803,20110802,
19,CLAMR,20110804,SM2_20110804,20110802,
20,CLAMR,20110805,SM2_20110805,20110802,
24,CLAMX,20110803,SM1_20110803,20110802,
25,CLAMX,20110804,SM1_20110804,20110802,
26,CLAMX,20110805,SM1_20110805,20110802,
27,CLAMX,20110803,SM6_20110803,20110802,
28,CLAMX,20110804,SM6_20110804,20110802,
29,CLAMX,20110805,SM6_20110805,20110802,
30,COHOP,20110803,SM4_20110803,20110802,
31,COHOP,20110804,SM4_20110804,20110802,
32,COHOP,20110805,SM4_20110805,20110802,
39,COHOR,20110803,SM3_20110803,20110802,
40,COHOR,20110804,SM3_20110804,20110802,
41,COHOR,20110805,SM3_20110805,20110802,
52,COLAP,20110728,SM6_20110728,20110802,40
53,COLAP,20110729,SM6_20110729,20110802,40
54,COLAP,20110730,SM6_20110730,20110802,40
55,COLAP,20110731,SM6_20110731,20110802,40
60,COLAR,20110728,SM5_20110728,20110802,40
61,COLAR,20110729,SM5_20110729,20110802,40
62,COLAR,20110730,SM5_20110730,20110802,40
63,COLAR,20110731,SM5_20110731,20110802,40
90,FOGAR,20110806,SM1_20110806,20110802,23.4
91,FOGAR,20110807,SM1_20110807,20110802,23.4
92,FOGAR,20110808,SM1_20110808,20110802,23.4
93,FOGAR,20110809,SM1_20110809,20110802,23.4
94,FOGAR,20110810,SM1_20110810,20110802,23.4
103,GRACR,20110806,SM6_20110806,20110802,21.6
104,GRACR,20110807,SM6_20110807,20110802,21.6
105,GRACR,20110808,SM6_20110808,20110802,21.6
106,GRACR,20110809,SM6_20110809,20110802,21.6
107,GRACR,20110810,SM6_20110810,20110802,21.6
113,GRCAR,20110806,SM4_20110806,20110802,0.4
114,GRCAR,20110807,SM4_20110807,20110802,0.4
115,GRCAR,20110808,SM4_20110808,20110802,0.4
116,GRCAR,20110809,SM4_20110809,20110802,0.4
117,GRCAR,20110810,SM4_20110810,20110802,0.4
126,GRYOP,20110806,SM2_20110806,20110802,2.2
127,GRYOP,20110807,SM2_20110807,20110802,2.2
128,GRYOP,20110808,SM2_20110808,20110802,2.2
129,GRYOP,20110809,SM2_20110809,20110802,2.2
130,GRYOP,20110810,SM2_20110810,20110802,2.2
141,GRYOR,20110806,SM3_20110806,20110802,2.2
142,GRYOR,20110807,SM3_20110807,20110802,2.2
143,GRYOR,20110808,SM3_20110808,20110802,2.2
144,GRYOR,20110809,SM3_20110809,20110802,2.2
145,GRYOR,20110810,SM3_20110810,20110802,2.2
