site,date,detector_date,bug_date,bug_1,bug_2,bug_3
BECKP,20110817,SM1_20110817,20110818,20110714,20110802,20110818
BECKP,20110818,SM1_20110818,20110818,20110714,20110802,20110818
BECKP,20110819,SM1_20110819,20110818,20110714,20110802,20110818
BECKP,20110721,SM6_20110721,20110714,20110714,20110802,20110818
BECKP,20110722,SM6_20110722,20110714,20110714,20110802,20110818
BECKP,20110723,SM6_20110723,20110714,20110714,20110802,20110818
BECKR,20110817,SM2_20110817,20110818,20110714,20110802,20110818
BECKR,20110818,SM2_20110818,20110818,20110714,20110802,20110818
BECKR,20110819,SM2_20110819,20110818,20110714,20110802,20110818
BECKR,20110721,SM5_20110721,20110714,20110714,20110802,20110818
BECKR,20110722,SM5_20110722,20110714,20110714,20110802,20110818
BECKR,20110723,SM5_20110723,20110714,20110714,20110802,20110818
CLAMP,20110827,SM1_20110827,20110818,20110714,20110802,20110818
CLAMP,20110828,SM1_20110828,20110818,20110714,20110802,20110818
CLAMP,20110829,SM1_20110829,20110818,20110714,20110802,20110818
CLAMP,20110803,SM5_20110803,20110802,20110714,20110802,20110818
CLAMP,20110804,SM5_20110804,20110802,20110714,20110802,20110818
CLAMP,20110805,SM5_20110805,20110802,20110714,20110802,20110818
CLAMR,20110803,SM2_20110803,20110802,20110714,20110802,20110818
CLAMR,20110804,SM2_20110804,20110802,20110714,20110802,20110818
CLAMR,20110805,SM2_20110805,20110802,20110714,20110802,20110818
CLAMR,20110827,SM4_20110827,20110818,20110714,20110802,20110818
CLAMR,20110828,SM4_20110828,20110818,20110714,20110802,20110818
CLAMR,20110829,SM4_20110829,20110818,20110714,20110802,20110818
CLAMX,20110803,SM1_20110803,20110802,20110714,20110802,20110818
CLAMX,20110804,SM1_20110804,20110802,20110714,20110802,20110818
CLAMX,20110805,SM1_20110805,20110802,20110714,20110802,20110818
CLAMX,20110803,SM6_20110803,20110802,20110714,20110802,20110818
CLAMX,20110804,SM6_20110804,20110802,20110714,20110802,20110818
CLAMX,20110805,SM6_20110805,20110802,20110714,20110802,20110818
COHOP,20110803,SM4_20110803,20110802,20110714,20110802,20110818
COHOP,20110804,SM4_20110804,20110802,20110714,20110802,20110818
COHOP,20110805,SM4_20110805,20110802,20110714,20110802,20110818
