detector_date,ncalls,qual,ANPA,EPFU,MYEV,MYTH,LANO,LACI,MYCA,LABL,PAHE,MYLU,MYVO,TABR,MYYU,COTO,EUPE,TOTA
SM1_20120609,44.0,2.0727649769999998,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,6.0
SM1_20120610,30.0,2.110071429,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,7.0
SM1_20120611,86.0,3.6111043949999995,0.0,8.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0
SM1_20120612,12.0,1.150833333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0
SM1_20120613,3.0,0.26666666700000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
SM1_20120615,31.0,1.9342424240000002,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0
SM1_20120616,25.0,3.0569999999999999,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,8.0
SM1_20120617,76.0,7.6404995010000007,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,7.0,9.0,0.0,0.0,20.0
SM1_20120618,92.0,5.6510744830000004,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,1.0,11.0,0.0,0.0,18.0
SM1_20120619,48.0,3.0851666669999998,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,10.0
SM1_20120620,40.0,3.2640555549999997,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,12.0
SM1_20120621,79.0,4.032630953,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,16.0
SM1_20120622,114.0,6.6069404760000001,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,25.0
SM1_20120623,1.0,0.42999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
SM1_20120625,3.0,0.443333333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
SM1_20120626,73.0,8.548682540999998,2.0,8.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,2.0,0.0,22.0
SM1_20120627,85.0,8.1917857129999998,2.0,6.0,2.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,1.0,0.0,24.0
SM1_20120628,1542.0,69.484120189000024,2.0,60.0,0.0,0.0,34.0,1.0,1.0,0.0,3.0,0.0,0.0,68.0,5.0,0.0,0.0,174.0
SM1_20120629,243.0,25.869981351999996,0.0,12.0,0.0,0.0,7.0,2.0,0.0,3.0,2.0,1.0,0.0,25.0,8.0,2.0,0.0,62.0
SM1_20120630,128.0,10.23771114,2.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,0.0,1.0,0.0,24.0
SM1_20120701,61.0,3.5004301069999997,1.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,11.0
SM1_20120702,79.0,2.5395793650000003,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,8.0
SM1_20120703,46.0,2.9499401710000002,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,7.0
SM1_20120704,1.0,0.42999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
