,path,folder,pass,date,detector_date,ncalls,qual,ANPA,EPFU,MYEV,MYTH,LANO,LACI,MYCA,LABL,PAHE,MYLU,MYVO,TABR,MYYU,COTO,EUPE
0,n:\data_vineyards\data_vineyards_2011\data_vineyards_2011_zx\M1-R1_ZC\,M1-R1_ZC,SM1_0_20110714_213435_531.00#,20110714,SM1_20110714,21,0.27333333300000001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,n:\data_vineyards\data_vineyards_2011\data_vineyards_2011_zx\M1-R1_ZC\,M1-R1_ZC,SM1_0_20110714_230150_383.00#,20110714,SM1_20110714,9,0.33000000000000002,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,n:\data_vineyards\data_vineyards_2011\data_vineyards_2011_zx\M1-R1_ZC\,M1-R1_ZC,SM1_0_20110715_014037_778.00#,20110714,SM1_20110714,17,0.38588235300000001,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3,n:\data_vineyards\data_vineyards_2011\data_vineyards_2011_zx\M1-R1_ZC\,M1-R1_ZC,SM1_0_20110715_031757_145.00#,20110714,SM1_20110714,5,0.378,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,n:\data_vineyards\data_vineyards_2011\data_vineyards_2011_zx\M1-R1_ZC\,M1-R1_ZC,SM1_0_20110715_033949_246.00#,20110714,SM1_20110714,4,0.39750000000000002,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5,n:\data_vineyards\data_vineyards_2011\data_vineyards_2011_zx\M1-R1_ZC\,M1-R1_ZC,SM1_0_20110715_041736_261.00#,20110714,SM1_20110714,37,0.22729729700000001,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6,n:\data_vineyards\data_vineyards_2011\data_vineyards_2011_zx\M1-R1_ZC\,M1-R1_ZC,SM1_0_20110715_042513_363.00#,20110714,SM1_20110714,5,0.32400000000000001,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7,n:\data_vineyards\data_vineyards_2011\data_vineyards_2011_zx\M1-R1_ZC\,M1-R1_ZC,SM1_0_20110715_042521_100.00#,20110714,SM1_20110714,2,0.315,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8,n:\data_vineyards\data_vineyards_2011\data_vineyards_2011_zx\M1-R1_ZC\,M1-R1_ZC,SM1_0_20110715_043452_357.00#,20110714,SM1_20110714,4,0.28000000000000003,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
9,n:\data_vineyards\data_vineyards_2011\data_vineyards_2011_zx\M1-R1_ZC\,M1-R1_ZC,SM1_0_20110715_044329_142.00#,20110714,SM1_20110714,43,0.35395348799999998,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
10,n:\data_vineyards\data_vineyards_2011\data_vineyards_2011_zx\M1-R1_ZC\,M1-R1_ZC,SM1_0_20110715_051543_476.00#,20110714,SM1_20110714,5,0.35599999999999998,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
11,n:\data_vineyards\data_vineyards_2011\data_vineyards_2011_zx\M1-R1_ZC\,M1-R1_ZC,SM1_0_20110715_051551_400.00#,20110714,SM1_20110714,14,0.319285714,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
12,n:\data_vineyards\data_vineyards_2011\data_vineyards_2011_zx\M1-R1_ZC\,M1-R1_ZC,SM1_0_20110715_212424_694.00#,20110715,SM1_20110715,10,0.29899999999999999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,n:\data_vineyards\data_vineyards_2011\data_vineyards_2011_zx\M1-R1_ZC\,M1-R1_ZC,SM1_0_20110715_214228_761.00#,20110715,SM1_20110715,19,0.26894736800000002,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,n:\data_vineyards\data_vineyards_2011\data_vineyards_2011_zx\M1-R1_ZC\,M1-R1_ZC,SM1_0_20110715_215304_460.00#,20110715,SM1_20110715,1,0.46999999999999997,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,n:\data_vineyards\data_vineyards_2011\data_vineyards_2011_zx\M1-R1_ZC\,M1-R1_ZC,SM1_0_20110715_220140_332.00#,20110715,SM1_20110715,2,0.22,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
16,n:\data_vineyards\data_vineyards_2011\data_vineyards_2011_zx\M1-R1_ZC\,M1-R1_ZC,SM1_0_20110715_223704_746.00#,20110715,SM1_20110715,9,0.26888888900000002,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,n:\data_vineyards\data_vineyards_2011\data_vineyards_2011_zx\M1-R1_ZC\,M1-R1_ZC,SM1_0_20110715_225242_904.00#,20110715,SM1_20110715,8,0.32750000000000001,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
18,n:\data_vineyards\data_vineyards_2011\data_vineyards_2011_zx\M1-R1_ZC\,M1-R1_ZC,SM1_0_20110716_001756_228.00#,20110715,SM1_20110715,14,0.26857142899999997,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
19,n:\data_vineyards\data_vineyards_2011\data_vineyards_2011_zx\M1-R1_ZC\,M1-R1_ZC,SM1_0_20110716_003614_374.00#,20110715,SM1_20110715,1,0.56000000000000005,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
