,path,folder,pass,date,detector_date,ncalls,qual,ANPA,EPFU,MYEV,MYTH,LANO,LACI,MYCA,LABL,PAHE,MYLU,MYVO,TABR,MYYU,COTO,EUPE
0,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM1_0_20120609_205528_585.00#,20120609,SM1_20120609,1,0.42,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM1_0_20120609_211457_151.00#,20120609,SM1_20120609,31,0.254193548,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM1_0_20120609_215617_789.00#,20120609,SM1_20120609,7,0.288571429,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM1_0_20120609_215650_890.00#,20120609,SM1_20120609,1,0.48,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM1_0_20120610_031135_041.00#,20120609,SM1_20120609,3,0.29,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM1_0_20120610_031142_700.00#,20120609,SM1_20120609,1,0.34,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM1_0_20120610_204908_316.00#,20120610,SM1_20120610,8,0.28,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM1_0_20120610_205753_375.00#,20120610,SM1_20120610,1,0.23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM1_0_20120610_205907_282.00#,20120610,SM1_20120610,5,0.264,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,n:\data_vineyards\data_vineyards_2012_zx\M1-R1_ZX\,M1-R1_ZX,SM1_0_20120610_210649_016.00#,20120610,SM1_20120610,4,0.2275,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
