detector_date,ncalls,qual,ANPA,EPFU,MYEV,MYTH,LANO,LACI,MYCA,LABL,PAHE,MYLU,MYVO,TABR,MYYU,COTO,EUPE,TOTA
SM1_20110714,166,3.940252185,1,0,0,0,0,0,0,0,0,0,0,10,1,0,0,12
SM1_20110715,72,2.996657686,6,1,0,0,0,0,0,0,0,0,1,1,0,0,0,9
SM1_20110716,116,5.088352404,3,2,0,0,0,0,1,0,0,0,0,9,0,0,0,15
SM1_20110717,136,6.103950501,1,2,0,0,0,0,0,0,0,2,4,1,6,0,0,16
SM1_20110718,103,4.74124975,0,0,0,0,0,0,1,0,1,0,0,4,6,0,1,13
SM1_20110719,350,11.13424755,4,3,0,0,0,0,4,1,0,1,0,2,11,1,0,27
SM1_20110720,155,8.646525474,0,0,0,0,0,1,3,0,1,0,1,9,6,0,0,21
SM1_20110721,585,22.88853131,0,6,0,0,8,2,0,1,1,0,0,27,15,0,0,60
SM1_20110722,651,27.75452566,0,8,0,0,8,1,3,0,0,0,0,35,13,0,1,69
SM1_20110723,436,27.1978684,2,3,0,0,6,2,0,0,0,0,0,45,9,0,0,67
SM1_20110724,157,8.796156336,1,2,0,0,2,1,0,0,0,2,1,1,8,0,5,23
SM1_20110725,201,12.89078518,0,3,1,0,2,2,3,0,2,1,0,5,8,0,6,33
SM1_20110726,346,24.83002209,1,2,0,0,0,0,2,0,0,0,1,7,18,0,24,55
SM1_20110727,195,10.78228203,1,4,0,0,0,3,0,0,0,0,0,11,4,0,3,26
SM1_20110728,37,3.970753968,0,1,0,0,0,1,0,0,0,0,0,2,2,0,2,8
SM1_20110729,17,3.819545455,1,0,0,0,1,0,0,0,0,0,1,1,0,0,2,6
SM1_20110730,7,1.483333333,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,3
SM1_20110803,118,6.953023063,0,6,0,0,1,2,0,0,0,0,0,6,1,0,0,16
SM1_20110804,54,4.901369048,0,0,0,0,1,0,1,0,1,0,0,9,1,0,0,13
SM1_20110805,65,7.318507003,0,4,0,0,0,0,0,0,0,0,0,9,1,0,1,15
SM1_20110806,71,3.172606952,2,1,0,0,0,0,0,1,0,0,0,1,5,0,0,10
SM1_20110807,123,4.104424409,3,0,1,0,0,0,0,0,0,1,1,0,6,0,0,12
SM1_20110808,137,4.322401116,0,1,1,0,0,0,1,0,0,1,1,3,4,0,0,12
SM1_20110809,124,4.625600196,0,1,0,0,0,0,2,1,2,2,0,1,5,0,0,14
SM1_20110810,32,1.789833334,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,5
SM1_20110811,33,0.656666667,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2
SM1_20110813,95,11.14175541,0,4,0,0,2,0,1,0,0,0,0,13,3,0,1,24
SM1_20110814,65,5.636654763,0,1,0,0,1,1,0,1,0,0,0,8,3,0,0,15
SM1_20110815,108,8.763272478,1,2,1,0,2,2,1,0,0,0,0,9,4,0,0,22
SM1_20110816,64,6.103939394,0,2,0,0,0,6,0,0,1,1,1,2,0,0,0,13
SM1_20110817,173,15.80525895,0,0,0,0,7,2,0,0,4,0,0,15,8,0,1,37
SM1_20110818,146,11.9998355,0,3,0,0,2,4,0,0,3,0,0,18,1,0,0,31
SM1_20110819,23,2.9235,1,0,0,0,2,1,0,0,0,0,0,1,1,0,0,6
SM1_20110820,254,11.97763961,1,2,1,0,1,1,6,0,1,0,2,4,20,1,1,41
SM1_20110821,274,15.15155438,1,5,0,0,3,0,5,0,3,1,2,5,19,3,0,47
SM1_20110822,229,12.585784,2,3,0,0,0,2,2,1,1,2,3,4,18,0,0,38
SM1_20110823,56,5.181463769,0,3,1,0,0,5,0,0,0,0,1,0,4,0,0,14
SM1_20110824,78,9.967313853,2,2,0,0,2,6,0,0,0,0,0,9,2,0,0,23
SM1_20110825,115,9.925343868,1,2,1,0,4,1,0,0,1,1,1,9,4,0,0,25
SM1_20110826,32,4.0295,0,3,0,0,1,4,0,0,0,0,0,1,0,0,0,9
SM1_20110827,254,19.07678013,2,26,0,0,1,3,1,0,0,1,0,5,1,0,3,43
SM1_20110828,163,16.89031385,3,17,0,0,1,8,0,0,2,0,0,2,4,0,1,38
SM1_20110829,160,19.56105303,2,11,0,0,2,4,0,0,0,0,0,17,4,1,1,42
SM2_20110714,297,10.81764382,0,3,0,0,0,1,0,1,0,8,0,11,6,0,0,30
SM2_20110715,508,22.59775939,4,22,0,0,2,3,1,0,0,7,0,21,4,0,0,64
SM2_20110716,720,24.00354231,1,9,0,0,7,3,0,0,0,12,0,24,15,0,0,71
SM2_20110717,94,4.479878565,0,1,0,0,2,0,0,0,5,0,0,1,2,0,0,11
SM2_20110718,56,4.136886364,0,3,0,0,0,0,0,0,0,0,0,7,1,0,0,11
SM2_20110719,76,2.099571678,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6
SM2_20110720,6,0.99,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
SM2_20110721,728,23.26084881,1,28,0,0,8,2,1,0,0,0,0,6,18,0,0,64
SM2_20110722,748,28.66063088,1,31,0,0,8,2,0,0,0,0,0,16,16,0,2,76
SM2_20110723,1312,37.46827532,5,30,2,0,12,4,0,1,0,0,0,18,33,0,0,105
SM2_20110724,315,15.00821137,0,11,0,0,1,2,1,0,0,2,0,1,15,0,3,36
SM2_20110725,277,12.5083692,0,5,0,0,3,0,3,0,0,1,0,6,13,1,2,34
SM2_20110726,668,26.1884754,2,11,0,0,1,0,1,0,0,0,1,2,33,0,13,64
SM2_20110727,644,20.5743634,4,26,0,0,1,2,1,0,0,0,0,9,13,0,0,56
SM2_20110728,331,8.988320362,1,5,0,0,7,1,0,0,0,0,0,13,2,0,0,29
SM2_20110729,258,12.7084057,1,7,0,0,5,3,1,0,0,0,0,16,3,0,0,36
SM2_20110730,221,14.22780746,1,10,0,0,2,9,0,0,0,0,0,12,3,0,0,37
SM2_20110803,505,12.74805489,1,25,0,0,0,3,0,0,0,0,0,3,2,0,0,34
SM2_20110804,23,3.886,0,1,0,0,0,0,1,0,0,0,0,6,0,0,2,10
SM2_20110805,1174,18.51522466,0,45,0,0,0,1,0,0,1,0,0,2,3,0,0,52
SM2_20110806,113,4.265198412,3,0,0,0,0,0,1,0,0,0,0,1,6,0,0,11
SM2_20110807,166,8.359397565,3,0,0,0,0,3,0,0,0,0,0,6,7,0,0,19
SM2_20110808,62,5.295841269,1,1,0,0,0,1,0,0,0,0,0,4,6,0,0,13
SM2_20110809,162,6.528894976,0,3,0,0,0,2,0,0,1,0,0,1,10,0,0,17
SM2_20110810,86,7.033672619,2,3,0,0,0,3,1,0,1,0,0,2,4,0,0,16
SM2_20110811,119,3.896687321,2,0,0,0,0,2,0,0,0,0,0,2,5,0,0,11
SM2_20110812,156,8.81890882,2,2,0,0,1,2,1,0,0,0,0,7,3,0,1,19
SM2_20110813,161,9.577419693,5,1,1,0,0,3,0,1,0,0,0,2,7,0,3,23
SM2_20110814,234,6.859263281,7,1,0,0,0,2,0,0,0,0,0,6,4,0,0,20
SM2_20110815,212,8.014545917,3,3,0,0,2,5,0,0,0,0,0,4,5,0,0,22
SM2_20110816,194,9.09744071,2,4,0,0,0,5,1,0,0,0,1,4,8,1,0,26
SM2_20110817,210,9.444232134,0,2,0,0,3,4,0,0,2,1,0,6,6,0,0,24
SM2_20110818,207,10.10014462,0,4,0,0,4,9,1,0,2,0,0,2,5,0,0,27
SM2_20110819,155,7.40157906,3,6,0,0,0,1,0,0,0,0,0,6,3,0,0,19
SM2_20110820,1296,35.14366085,7,17,1,0,2,0,12,3,0,2,2,2,56,0,0,104
SM2_20110821,1350,34.98196709,9,8,1,0,5,1,6,0,1,4,1,8,55,0,1,100
SM2_20110822,1231,37.27131362,9,10,0,0,1,3,6,1,2,5,2,5,59,1,0,104
SM2_20110823,182,8.012853026,1,5,0,0,0,7,0,2,1,1,0,1,5,0,0,23
SM2_20110824,36,2.15925,1,1,0,0,0,1,0,0,0,0,0,2,0,0,0,5
SM2_20110825,89,3.880183984,1,1,0,0,0,2,0,0,0,0,0,5,4,0,0,13
SM2_20110826,113,6.41469697,2,5,0,0,0,5,0,1,1,0,0,2,2,0,0,18
SM2_20110827,138,10.33525186,3,10,0,0,3,1,0,0,0,1,0,4,2,0,0,24
SM2_20110828,149,10.4110569,0,3,0,0,6,5,0,0,0,0,0,4,7,0,1,26
SM3_20110714,464,8.513662506,0,0,1,0,0,0,0,0,0,4,0,9,14,0,0,28
SM3_20110715,275,15.96079515,1,3,0,0,3,1,0,0,0,2,0,24,9,0,0,43
SM3_20110716,675,19.75069865,2,4,0,0,1,2,0,1,0,3,0,23,22,0,0,58
SM3_20110717,317,7.916780536,8,4,0,0,0,0,0,0,2,0,1,3,5,1,0,24
SM3_20110718,369,8.464414112,6,4,0,0,0,0,0,0,0,0,0,4,10,1,0,25
SM3_20110719,139,3.873879122,4,2,0,0,1,0,1,0,0,0,0,0,4,0,0,12
SM3_20110720,253,6.376386998,4,4,0,0,0,1,2,0,0,0,0,3,5,0,0,19
SM3_20110721,214,6.256639392,0,0,0,0,0,1,1,0,0,1,0,5,8,0,1,17
SM3_20110722,177,4.783919263,0,1,0,0,0,0,0,0,0,0,0,3,12,0,0,16
SM3_20110723,121,4.444220814,1,2,0,0,0,1,0,0,0,0,0,2,4,0,0,10
SM3_20110724,1198,33.96663778,0,6,0,0,2,0,14,3,3,6,0,8,73,0,0,115
SM3_20110725,1029,32.51168093,0,24,0,0,1,0,5,0,5,3,0,3,66,0,1,108
SM3_20110726,1245,37.82456089,4,24,0,0,2,0,10,0,1,3,0,9,70,0,3,126
SM3_20110727,990,33.80412049,0,30,1,0,2,1,9,1,1,3,1,6,50,0,2,107
SM3_20110728,141,4.990509022,0,0,0,0,2,0,0,0,0,0,0,1,8,0,2,13
SM3_20110729,30,2.062,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,5
SM3_20110730,353,14.77262531,0,7,0,0,0,0,0,0,0,0,0,1,25,0,6,39
SM3_20110803,389,25.78162178,0,8,0,0,9,3,0,0,0,0,0,46,1,0,2,69
SM3_20110804,555,25.6758982,1,14,0,0,13,3,0,0,0,0,0,32,4,0,1,68
SM3_20110805,614,24.10902384,0,13,0,0,8,3,0,0,0,1,0,29,9,0,2,65
SM3_20110806,71,3.198206711,2,0,0,0,1,1,0,0,0,0,0,5,0,0,0,9
SM3_20110807,181,7.098288095,1,0,0,0,0,0,0,0,0,1,0,11,4,0,1,18
SM3_20110808,242,9.058498317,1,2,0,0,0,3,0,0,0,1,0,8,10,0,0,25
SM3_20110809,139,5.995819366,1,3,1,0,0,3,2,1,0,0,0,1,6,0,0,18
SM3_20110810,92,4.569248917,0,2,0,0,0,2,0,0,0,0,0,5,4,0,0,13
SM3_20110811,122,5.154865741,0,1,0,0,0,2,1,0,0,0,0,4,7,0,0,15
SM3_20110812,138,5.890729578,0,1,0,0,0,3,1,1,0,1,0,3,7,0,0,17
SM3_20110813,185,4.844587217,0,3,0,0,2,1,0,0,2,0,1,2,3,0,0,14
SM3_20110814,17,2.093181818,1,2,0,0,0,0,1,0,0,0,0,0,1,0,0,5
SM3_20110815,131,3.282740602,0,2,0,0,1,1,0,0,2,0,0,1,3,0,0,10
SM3_20110816,62,3.203333333,1,0,0,0,0,1,0,1,0,0,0,0,4,0,1,8
SM3_20110817,333,16.38771494,0,8,0,0,2,3,2,1,1,0,0,13,13,0,2,45
SM3_20110818,537,19.39434839,0,5,0,0,7,12,3,1,0,0,0,18,9,0,0,55
SM3_20110819,315,20.58736919,0,1,0,0,5,12,4,1,1,0,0,18,12,0,0,54
SM3_20110820,1004,30.05331637,4,8,0,0,1,3,11,2,4,1,2,8,55,0,2,101
SM3_20110821,1226,33.43006994,2,12,0,0,4,10,5,2,4,4,0,11,55,1,0,110
SM3_20110822,1091,37.6206669,5,19,0,0,5,5,6,4,7,6,3,6,60,0,0,126
SM3_20110823,488,25.21244097,0,15,0,0,10,13,3,0,1,0,0,18,9,0,1,70
SM3_20110824,361,26.29971758,0,14,0,0,11,16,0,1,0,0,0,25,4,0,0,71
SM3_20110825,361,16.92952797,0,19,0,0,3,9,0,1,0,0,0,10,7,0,0,49
SM3_20110826,155,8.800363636,3,9,0,0,4,2,0,0,0,0,0,4,2,0,0,24
SM3_20110827,427,12.24878419,0,19,0,0,4,3,2,0,0,0,0,3,12,0,0,43
SM3_20110828,281,21.00894526,1,4,0,0,4,9,2,0,0,0,0,12,10,0,10,52
SM3_20110829,382,17.82794924,1,15,0,0,10,8,0,0,0,1,0,11,7,0,2,55
SM4_20110714,13,1.57,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,5
SM4_20110715,124,5.252416284,0,3,0,0,0,1,0,2,0,0,1,5,2,0,0,14
SM4_20110716,147,4.444748129,1,0,0,0,0,0,1,0,1,0,0,4,6,0,0,13
SM4_20110717,122,5.047829366,1,4,0,0,0,0,1,0,0,1,0,1,4,0,0,12
SM4_20110718,394,10.94369562,1,2,1,0,1,1,3,0,0,0,0,2,17,0,0,28
SM4_20110719,399,17.04471686,2,0,0,0,1,0,4,1,1,1,1,1,26,0,0,38
SM4_20110720,375,17.8705337,0,0,1,0,2,3,5,0,0,0,1,7,21,0,0,40
SM4_20110721,555,22.83598037,0,8,0,0,2,4,2,1,0,0,0,31,14,0,1,63
SM4_20110722,930,99.98695666,0,10,0,0,5,47,2,0,1,0,1,161,12,0,1,240
SM4_20110723,1510,74.54911141,0,8,0,0,4,43,4,0,1,1,0,116,12,0,0,189
SM4_20110724,6267,77.27769264,0,165,1,0,2,1,4,0,1,1,2,5,17,1,1,201
SM4_20110725,5987,72.88912848,0,134,1,0,10,0,5,0,0,0,4,3,24,0,1,182
SM4_20110726,6975,106.1871081,0,176,3,0,11,0,8,0,2,0,5,2,50,0,1,258
SM4_20110727,4743,80.27919993,1,121,0,0,11,0,15,0,3,1,3,7,36,0,1,199
SM4_20110728,1170,52.8662232,0,7,5,2,0,2,24,13,18,10,1,14,65,0,0,161
SM4_20110729,2282,68.88010523,0,52,4,0,2,0,28,12,33,8,2,15,59,0,0,215
SM4_20110730,1375,45.45707348,1,23,1,0,3,1,7,6,9,3,2,9,72,0,0,137
SM4_20110803,2474,80.67008447,1,25,2,0,44,5,0,0,0,0,1,117,10,0,1,206
SM4_20110804,1472,62.38542222,1,15,1,0,28,4,1,0,0,1,2,102,10,1,1,167
SM4_20110805,1721,89.03913679,5,24,0,0,31,16,1,2,0,0,0,115,7,0,6,207
SM4_20110806,731,20.21150075,0,0,0,0,1,3,1,0,0,9,0,21,17,0,0,52
SM4_20110807,672,19.11232446,0,0,0,0,2,1,3,0,0,6,0,28,13,0,0,53
SM4_20110808,636,21.73201636,0,1,0,0,0,2,3,0,0,6,0,25,18,0,0,55
SM4_20110809,748,25.91893798,0,0,0,0,9,1,1,0,1,9,2,30,12,0,2,67
SM4_20110810,399,13.87358125,0,0,0,0,1,3,1,1,0,3,1,12,15,0,0,37
SM4_20110811,352,13.6667592,0,3,0,0,0,2,1,0,0,3,0,20,5,0,1,35
SM4_20110812,624,14.68362845,0,0,0,0,13,0,1,1,0,1,0,21,4,0,0,41
SM4_20110813,107,2.284802161,0,0,0,0,0,1,1,0,3,0,0,0,2,0,0,7
SM4_20110814,77,14.31962607,1,0,0,0,0,2,0,0,1,1,0,2,3,0,15,25
SM4_20110815,170,49.96031674,0,0,0,0,0,4,1,0,1,0,0,2,2,0,70,80
SM4_20110816,76,8.462972222,0,0,0,0,0,3,0,0,2,0,0,0,6,0,7,18
SM4_20110817,218,9.344847307,1,2,0,0,0,3,0,0,0,1,0,5,7,0,1,20
SM4_20110818,118,5.931729242,1,0,0,0,0,3,1,0,0,1,1,4,5,0,0,16
SM4_20110819,97,5.593984127,0,1,0,0,0,2,0,0,0,0,0,2,6,0,1,12
SM4_20110820,1515,52.90076853,1,2,4,0,0,4,14,2,4,10,2,17,116,0,1,177
SM4_20110821,1815,55.1896322,4,6,0,0,3,9,18,1,8,7,0,21,107,0,0,184
SM4_20110822,1871,66.35103416,0,13,5,0,8,8,10,5,6,9,2,20,130,0,1,217
SM4_20110823,227,13.10891624,0,1,1,0,3,10,2,0,0,0,5,1,6,0,1,30
SM4_20110824,156,26.10891895,9,1,0,0,1,11,0,0,0,1,4,2,4,0,10,43
SM4_20110825,182,10.284964,0,3,0,0,0,8,0,2,0,0,4,2,6,0,1,26
SM4_20110826,63,7.097844155,0,1,1,0,0,6,0,0,0,0,3,1,1,0,1,14
SM4_20110827,381,14.47825685,0,13,0,0,1,6,1,0,0,1,0,10,5,0,0,37
SM4_20110828,180,9.26268807,2,2,1,0,0,8,1,0,0,0,0,7,7,0,4,32
SM4_20110829,332,11.43307663,1,5,0,0,0,15,3,0,0,0,0,5,5,0,0,34
SM5_20110714,95,1.1042479,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,4
SM5_20110715,182,5.071582634,0,0,0,0,1,0,0,2,4,0,0,3,5,0,0,15
SM5_20110716,153,6.69970406,0,0,0,0,1,1,0,0,2,0,0,8,6,0,0,18
SM5_20110717,382,11.12280161,6,5,0,0,0,0,0,0,2,0,0,14,6,0,0,33
SM5_20110718,711,18.30354062,9,4,0,0,3,2,0,0,1,0,0,24,11,0,0,54
SM5_20110719,330,11.02346117,11,3,1,0,0,0,0,0,0,0,0,11,7,0,0,33
SM5_20110720,67,5.429487179,0,2,0,0,0,1,0,0,0,0,0,6,6,0,0,15
SM5_20110721,73,6.072301282,0,1,0,0,2,0,1,0,1,0,0,11,1,0,0,17
SM5_20110722,47,4.842518037,0,0,0,0,1,0,0,0,1,0,0,10,0,0,0,12
SM5_20110723,109,5.949386752,0,1,0,0,1,0,0,0,1,0,0,9,4,0,0,16
SM5_20110724,4831,103.5584113,1,192,0,0,7,0,0,0,0,0,0,1,1,0,0,202
SM5_20110725,4240,99.4553381,2,162,0,0,19,0,0,0,0,0,0,6,2,0,0,191
SM5_20110726,5272,123.8371272,1,217,0,0,18,0,0,1,0,0,0,2,9,0,0,248
SM5_20110727,3126,81.23571574,0,138,0,0,9,0,0,0,0,1,0,2,8,0,0,158
SM5_20110728,3,1.13,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3
SM5_20110729,4,0.4675,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SM5_20110730,1,0.27,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
SM5_20110803,102,8.124929536,0,9,0,0,1,0,0,0,0,0,0,5,1,0,0,16
SM5_20110804,269,14.54953405,1,17,0,0,1,2,0,0,0,0,0,6,2,0,0,29
SM5_20110805,199,12.64228427,1,12,0,0,3,1,0,0,0,0,0,7,2,0,0,26
SM5_20110806,16,1.366666667,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4
SM5_20110807,43,4.010075757,2,0,0,0,0,0,1,0,0,0,0,3,2,1,0,9
SM5_20110808,76,3.817108466,0,1,0,0,0,0,0,0,0,0,0,7,2,0,0,10
SM5_20110809,13,1.31,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,3
SM5_20110810,56,4.467277778,2,1,0,0,0,2,0,0,0,0,0,5,1,0,0,11
SM5_20110811,7,2,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,5
SM5_20110812,32,2.005833334,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,6
SM5_20110813,22,1.696333333,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,4
SM5_20110814,31,3.685147059,0,1,0,0,0,5,0,0,0,0,0,3,0,0,0,9
SM5_20110815,9,1.36,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3
SM5_20110816,16,2.895,0,1,0,0,0,0,0,0,0,0,0,5,2,0,0,8
SM5_20110817,322,22.74775675,2,5,0,0,4,5,0,0,0,1,0,29,11,0,0,57
SM5_20110818,213,13.44565579,1,1,0,0,1,2,1,0,1,0,0,21,7,0,0,35
SM5_20110819,204,15.23604546,0,6,0,0,3,5,1,0,0,0,0,14,8,0,1,38
SM5_20110820,2229,41.72790148,1,110,0,0,5,2,1,0,1,0,0,0,1,0,0,121
SM5_20110821,1740,38.03537391,0,88,0,0,5,2,1,0,1,1,0,4,9,0,0,111
SM5_20110822,1178,33.30621392,0,65,0,0,7,2,0,0,0,0,0,7,6,0,0,87
SM5_20110823,59,5.463249416,0,9,0,0,0,2,1,1,0,0,0,2,0,0,0,15
SM5_20110824,537,36.77911705,1,64,0,0,4,2,1,0,0,0,0,10,0,0,1,83
SM5_20110825,176,14.07173465,1,16,0,0,4,5,0,0,0,0,0,6,0,0,0,32
SM5_20110826,318,24.28234499,1,32,0,0,10,6,0,0,0,0,0,6,0,0,0,55
SM5_20110827,323,32.01300441,2,43,0,0,9,2,0,0,1,0,0,15,1,0,0,73
SM5_20110828,147,14.64876474,0,19,0,0,1,3,0,0,0,0,0,9,1,0,0,33
SM5_20110829,129,15.73533117,0,20,0,0,2,4,0,0,0,0,0,6,4,0,0,36
SM6_20110714,491,7.668069928,0,4,0,0,0,0,2,1,8,0,0,1,10,0,0,26
SM6_20110715,382,8.248801316,0,2,0,0,0,0,0,1,9,0,0,3,12,0,0,27
SM6_20110716,388,9.910373901,0,2,0,0,0,1,3,0,4,0,1,3,14,1,0,29
SM6_20110717,530,13.50549643,1,8,0,0,2,1,0,0,2,0,0,12,14,0,0,40
SM6_20110718,781,20.27826136,5,9,0,0,4,0,1,0,2,0,0,23,16,2,0,62
SM6_20110719,633,14.20006103,9,13,1,0,0,0,1,1,1,0,0,2,13,1,0,42
SM6_20110720,166,9.856415944,2,6,0,0,2,0,0,0,1,0,0,7,9,0,0,27
SM6_20110721,203,11.82563045,0,3,0,0,1,1,0,1,11,0,1,11,1,0,0,30
SM6_20110722,128,9.219114002,0,4,0,0,0,0,0,2,7,0,0,8,2,0,1,24
SM6_20110723,269,10.26106793,0,3,0,0,0,0,0,1,13,0,0,7,5,0,0,29
SM6_20110724,173,11.11173545,1,2,0,0,0,0,2,0,1,2,0,5,19,0,0,32
SM6_20110725,162,4.992075395,0,0,0,0,0,0,0,0,1,0,0,1,15,0,0,17
SM6_20110726,128,9.90748052,0,0,0,0,1,0,4,0,0,2,0,7,15,0,0,29
SM6_20110727,157,6.972757576,0,1,0,0,0,0,0,0,0,0,1,5,14,0,0,21
SM6_20110728,260,8.862795691,0,16,0,0,1,0,1,0,0,0,0,0,1,3,0,22
SM6_20110729,143,5.973838198,0,7,1,0,1,1,0,0,0,1,3,1,1,0,0,16
SM6_20110730,92,4.616888169,1,6,0,0,0,0,1,0,0,0,0,2,1,1,0,12
SM6_20110803,195,5.64082329,1,6,0,0,0,0,0,0,0,0,0,3,2,2,0,14
SM6_20110804,325,15.85131351,1,21,0,0,3,0,0,0,0,0,0,6,5,0,0,36
SM6_20110805,227,14.91011692,0,9,0,0,5,3,3,1,0,0,0,7,3,2,0,33
SM6_20110806,70,2.274845938,2,2,0,0,0,0,0,0,0,1,0,1,1,0,0,7
SM6_20110807,2,0.465,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
SM6_20110808,22,0.777307692,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,3
SM6_20110809,17,1.244166667,0,1,0,0,1,0,0,0,0,0,0,1,0,2,0,5
SM6_20110810,14,1.513571429,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,4
SM6_20110813,151,6.204265429,0,2,0,0,0,0,0,0,1,2,0,3,7,0,2,17
SM6_20110814,143,5.296326841,0,1,0,0,2,2,1,0,0,1,0,4,4,0,0,15
SM6_20110815,186,9.033799544,0,0,0,0,0,3,0,0,0,2,0,10,7,0,0,22
SM6_20110816,175,7.042029904,0,0,0,0,2,2,0,0,0,0,0,6,9,0,0,19
SM6_20110817,335,13.9773062,0,3,0,0,5,3,0,0,2,0,0,13,14,0,0,40
SM6_20110818,260,11.46535004,0,1,0,0,6,3,0,0,1,0,0,8,13,0,0,32
SM6_20110819,310,18.23161941,1,4,0,0,2,6,0,1,1,0,0,16,16,0,0,47
SM6_20110820,185,14.00179509,0,2,0,0,2,6,0,0,1,0,0,10,16,0,0,37
SM6_20110821,343,27.81073582,1,8,0,0,0,15,1,0,0,0,1,32,9,0,0,67
SM6_20110822,333,25.3884183,1,12,0,0,4,9,0,0,2,1,0,29,7,0,0,65
