site,extra,pair,detector_date,ncalls,qual,date,ANPA,EPFU,MYEV,MYTH,LANO,LACI,MYCA,LABL,PAHE,MYLU,MYVO,TABR,MYYU,COTO,EUPE,TOTA,Hab05km,Hab10km,Hab15km,Hab20km,Hab25km,Hab30km,Hab35km,Hab40km,Hab45km,Hab50km,Hab55km,Hab60km,bug_count,min_temp,mean_temp
GRACR,0,0,SM1_20110714,166,3.940252185,20110714,1,0,0,0,0,0,0,0,0,0,0,10,1,0,0,12,0.91,0.85,0.77,0.76,0.72,0.71,0.72,0.73,0.74,0.73,0.72,0.72,14.2,17.1,20.72063492
GRACR,0,0,SM1_20110715,72,2.996657686,20110715,6,1,0,0,0,0,0,0,0,0,1,1,0,0,0,9,0.91,0.85,0.77,0.76,0.72,0.71,0.72,0.73,0.74,0.73,0.72,0.72,14.2,16.3,20.35714286
GRACR,0,0,SM1_20110716,116,5.088352404,20110716,3,2,0,0,0,0,1,0,0,0,0,9,0,0,0,15,0.91,0.85,0.77,0.76,0.72,0.71,0.72,0.73,0.74,0.73,0.72,0.72,14.2,17.9,21.37952756
GRYOR,0,0,SM1_20110717,136,6.103950501,20110717,1,2,0,0,0,0,0,0,0,2,4,1,6,0,0,16,0.48,0.46,0.49,0.47,0.45,0.45,0.46,0.5,0.53,0.56,0.58,0.6,0.8,15.3,20.58110236
GRYOR,0,0,SM1_20110718,103,4.74124975,20110718,0,0,0,0,0,0,1,0,1,0,0,4,6,0,1,13,0.48,0.46,0.49,0.47,0.45,0.45,0.46,0.5,0.53,0.56,0.58,0.6,0.8,16.6,22.08897638
GRYOR,0,0,SM1_20110719,350,11.13424755,20110719,4,3,0,0,0,0,4,1,0,1,0,2,11,1,0,27,0.48,0.46,0.49,0.47,0.45,0.45,0.46,0.5,0.53,0.56,0.58,0.6,0.8,16.6,23.43385827
GRYOR,0,0,SM1_20110720,155,8.646525474,20110720,0,0,0,0,0,1,3,0,1,0,1,9,6,0,0,21,0.48,0.46,0.49,0.47,0.45,0.45,0.46,0.5,0.53,0.56,0.58,0.6,0.8,19.3,24.29296875
FNSUR,0,0,SM1_20110721,585,22.88853131,20110721,0,6,0,0,8,2,0,1,1,0,0,27,15,0,0,60,0.04,0.03,0.04,0.06,0.11,0.18,0.25,0.34,0.41,0.47,0.51,0.54,1,20.9,25.64453125
FNSUR,0,0,SM1_20110722,651,27.75452566,20110722,0,8,0,0,8,1,3,0,0,0,0,35,13,0,1,69,0.04,0.03,0.04,0.06,0.11,0.18,0.25,0.34,0.41,0.47,0.51,0.54,1,19.9,24.06953125
FNSUR,0,0,SM1_20110723,436,27.1978684,20110723,2,3,0,0,6,2,0,0,0,0,0,45,9,0,0,67,0.04,0.03,0.04,0.06,0.11,0.18,0.25,0.34,0.41,0.47,0.51,0.54,1,19.1,22.85
SMMIR,0,0,SM1_20110724,157,8.796156336,20110724,1,2,0,0,2,1,0,0,0,2,1,1,8,0,5,23,0.77,0.77,0.67,0.61,0.6,0.64,0.67,0.69,0.71,0.74,0.75,0.77,9.8,17.9,21.23565891
SMMIR,0,0,SM1_20110725,201,12.89078518,20110725,0,3,1,0,2,2,3,0,2,1,0,5,8,0,6,33,0.77,0.77,0.67,0.61,0.6,0.64,0.67,0.69,0.71,0.74,0.75,0.77,9.8,18.4,21.42713178
SMMIR,0,0,SM1_20110726,346,24.83002209,20110726,1,2,0,0,0,0,2,0,0,0,1,7,18,0,24,55,0.77,0.77,0.67,0.61,0.6,0.64,0.67,0.69,0.71,0.74,0.75,0.77,9.8,18.8,23.34186047
SMMIR,0,0,SM1_20110727,195,10.78228203,20110727,1,4,0,0,0,3,0,0,0,0,0,11,4,0,3,26,0.77,0.77,0.67,0.61,0.6,0.64,0.67,0.69,0.71,0.74,0.75,0.77,9.8,17.9,22.86296296
RILAR,0,0,SM1_20110728,37,3.970753968,20110728,0,1,0,0,0,1,0,0,0,0,0,2,2,0,2,8,0.32,0.39,0.42,0.5,0.6,0.65,0.69,0.72,0.74,0.76,0.77,0.77,29.2,19.4,24.18692308
RILAR,0,0,SM1_20110729,17,3.819545455,20110729,1,0,0,0,1,0,0,0,0,0,1,1,0,0,2,6,0.32,0.39,0.42,0.5,0.6,0.65,0.69,0.72,0.74,0.76,0.77,0.77,29.2,19.6,23.73923077
RILAR,0,0,SM1_20110730,7,1.483333333,20110730,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,3,0.32,0.39,0.42,0.5,0.6,0.65,0.69,0.72,0.74,0.76,0.77,0.77,29.2,19.1,23.07175573
CLAMX,1,0,SM1_20110803,118,6.953023063,20110803,0,6,0,0,1,2,0,0,0,0,0,6,1,0,0,16,0.18,0.25,0.23,0.26,0.3,0.33,0.39,0.46,0.52,0.57,0.62,0.64,,19.6,23.28030303
CLAMX,1,0,SM1_20110804,54,4.901369048,20110804,0,0,0,0,1,0,1,0,1,0,0,9,1,0,0,13,0.18,0.25,0.23,0.26,0.3,0.33,0.39,0.46,0.52,0.57,0.62,0.64,,19.1,22.92030075
CLAMX,1,0,SM1_20110805,65,7.318507003,20110805,0,4,0,0,0,0,0,0,0,0,0,9,1,0,1,15,0.18,0.25,0.23,0.26,0.3,0.33,0.39,0.46,0.52,0.57,0.62,0.64,,20.4,23.15185185
FOGAR,0,0,SM1_20110806,71,3.172606952,20110806,2,1,0,0,0,0,0,1,0,0,0,1,5,0,0,10,0.38,0.61,0.63,0.66,0.68,0.66,0.65,0.63,0.62,0.61,0.61,0.61,23.4,17.9,21.57744361
FOGAR,0,0,SM1_20110807,123,4.104424409,20110807,3,0,1,0,0,0,0,0,0,1,1,0,6,0,0,12,0.38,0.61,0.63,0.66,0.68,0.66,0.65,0.63,0.62,0.61,0.61,0.61,23.4,17.4,20.82238806
FOGAR,0,0,SM1_20110808,137,4.322401116,20110808,0,1,1,0,0,0,1,0,0,1,1,3,4,0,0,12,0.38,0.61,0.63,0.66,0.68,0.66,0.65,0.63,0.62,0.61,0.61,0.61,23.4,17.3,20.44850746
FOGAR,0,0,SM1_20110809,124,4.625600196,20110809,0,1,0,0,0,0,2,1,2,2,0,1,5,0,0,14,0.38,0.61,0.63,0.66,0.68,0.66,0.65,0.63,0.62,0.61,0.61,0.61,23.4,16.1,21.31119403
FOGAR,0,0,SM1_20110810,32,1.789833334,20110810,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,5,0.38,0.61,0.63,0.66,0.68,0.66,0.65,0.63,0.62,0.61,0.61,0.61,23.4,15,19.97555556
FOGAR,0,0,SM1_20110811,33,0.656666667,20110811,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0.38,0.61,0.63,0.66,0.68,0.66,0.65,0.63,0.62,0.61,0.61,0.61,17.4,17.6,19.87481481
PIKAP,0,1,SM1_20110813,95,11.14175541,20110813,0,4,0,0,2,0,1,0,0,0,0,13,3,0,1,24,0.27,0.2,0.28,0.36,0.42,0.48,0.49,0.52,0.54,0.56,0.58,0.6,16.2,17.6,23.22867647
PIKAP,0,1,SM1_20110814,65,5.636654763,20110814,0,1,0,0,1,1,0,1,0,0,0,8,3,0,0,15,0.27,0.2,0.28,0.36,0.42,0.48,0.49,0.52,0.54,0.56,0.58,0.6,16.2,14.5,21.84452555
PIKAP,0,1,SM1_20110815,108,8.763272478,20110815,1,2,1,0,2,2,1,0,0,0,0,9,4,0,0,22,0.27,0.2,0.28,0.36,0.42,0.48,0.49,0.52,0.54,0.56,0.58,0.6,16.2,19.4,23.08686131
PIKAP,0,1,SM1_20110816,64,6.103939394,20110816,0,2,0,0,0,6,0,0,1,1,1,2,0,0,0,13,0.27,0.2,0.28,0.36,0.42,0.48,0.49,0.52,0.54,0.56,0.58,0.6,16.2,19.1,22.82043796
BECKP,0,1,SM1_20110817,173,15.80525895,20110817,0,0,0,0,7,2,0,0,4,0,0,15,8,0,1,37,0.02,0.02,0.08,0.19,0.27,0.3,0.32,0.34,0.4,0.45,0.51,0.55,6.4,17,21.73405797
BECKP,0,1,SM1_20110818,146,11.9998355,20110818,0,3,0,0,2,4,0,0,3,0,0,18,1,0,0,31,0.02,0.02,0.08,0.19,0.27,0.3,0.32,0.34,0.4,0.45,0.51,0.55,6.4,16.1,20.06376812
BECKP,0,1,SM1_20110819,23,2.9235,20110819,1,0,0,0,2,1,0,0,0,0,0,1,1,0,0,6,0.02,0.02,0.08,0.19,0.27,0.3,0.32,0.34,0.4,0.45,0.51,0.55,6.4,,
JPHRX,1,0,SM1_20110820,254,11.97763961,20110820,1,2,1,0,1,1,6,0,1,0,2,4,20,1,1,41,0.56,0.59,0.56,0.55,0.54,0.54,0.54,0.57,0.6,0.63,0.65,0.67,3.6,19.1,23.61510791
JPHRX,1,0,SM1_20110821,274,15.15155438,20110821,1,5,0,0,3,0,5,0,3,1,2,5,19,3,0,47,0.56,0.59,0.56,0.55,0.54,0.54,0.54,0.57,0.6,0.63,0.65,0.67,3.6,19.4,23.59285714
JPHRX,1,0,SM1_20110822,229,12.585784,20110822,2,3,0,0,0,2,2,1,1,2,3,4,18,0,0,38,0.56,0.59,0.56,0.55,0.54,0.54,0.54,0.57,0.6,0.63,0.65,0.67,3.6,18.8,23.655
COLAP,0,1,SM1_20110823,56,5.181463769,20110823,0,3,1,0,0,5,0,0,0,0,1,0,4,0,0,14,0.5,0.59,0.69,0.73,0.73,0.74,0.76,0.78,0.79,0.8,0.81,0.81,10.6,16.1,22.27285714
COLAP,0,1,SM1_20110824,78,9.967313853,20110824,2,2,0,0,2,6,0,0,0,0,0,9,2,0,0,23,0.5,0.59,0.69,0.73,0.73,0.74,0.76,0.78,0.79,0.8,0.81,0.81,10.6,17.1,22.34964539
COLAP,0,1,SM1_20110825,115,9.925343868,20110825,1,2,1,0,4,1,0,0,1,1,1,9,4,0,0,25,0.5,0.59,0.69,0.73,0.73,0.74,0.76,0.78,0.79,0.8,0.81,0.81,10.6,17.3,21.21489362
COLAP,0,1,SM1_20110826,32,4.0295,20110826,0,3,0,0,1,4,0,0,0,0,0,1,0,0,0,9,0.5,0.59,0.69,0.73,0.73,0.74,0.76,0.78,0.79,0.8,0.81,0.81,10.6,,
CLAMP,0,1,SM1_20110827,254,19.07678013,20110827,2,26,0,0,1,3,1,0,0,1,0,5,1,0,3,43,0.18,0.25,0.23,0.26,0.3,0.33,0.39,0.46,0.52,0.57,0.62,0.64,5.8,16.6,21.72323944
CLAMP,0,1,SM1_20110828,163,16.89031385,20110828,3,17,0,0,1,8,0,0,2,0,0,2,4,0,1,38,0.18,0.25,0.23,0.26,0.3,0.33,0.39,0.46,0.52,0.57,0.62,0.64,5.8,13.3,19.95384615
CLAMP,0,1,SM1_20110829,160,19.56105303,20110829,2,11,0,0,2,4,0,0,0,0,0,17,4,1,1,42,0.18,0.25,0.23,0.26,0.3,0.33,0.39,0.46,0.52,0.57,0.62,0.64,5.8,12,19.11748252
GRCAR,0,0,SM2_20110714,297,10.81764382,20110714,0,3,0,0,0,1,0,1,0,8,0,11,6,0,0,30,0.15,0.1,0.2,0.29,0.37,0.4,0.41,0.42,0.43,0.45,0.46,0.47,1.2,15.6,20.7452381
GRCAR,0,0,SM2_20110715,508,22.59775939,20110715,4,22,0,0,2,3,1,0,0,7,0,21,4,0,0,64,0.15,0.1,0.2,0.29,0.37,0.4,0.41,0.42,0.43,0.45,0.46,0.47,1.2,18.1,21.77539683
GRCAR,0,0,SM2_20110716,720,24.00354231,20110716,1,9,0,0,7,3,0,0,0,12,0,24,15,0,0,71,0.15,0.1,0.2,0.29,0.37,0.4,0.41,0.42,0.43,0.45,0.46,0.47,1.2,19.4,22.6480315
NCTCR,0,0,SM2_20110717,94,4.479878565,20110717,0,1,0,0,2,0,0,0,5,0,0,1,2,0,0,11,0,0.09,0.25,0.31,0.34,0.39,0.45,0.49,0.53,0.56,0.59,0.61,10.6,17.4,22.6023622
NCTCR,0,0,SM2_20110718,56,4.136886364,20110718,0,3,0,0,0,0,0,0,0,0,0,7,1,0,0,11,0,0.09,0.25,0.31,0.34,0.39,0.45,0.49,0.53,0.56,0.59,0.61,10.6,20.1,24.23937008
NCTCR,0,0,SM2_20110719,76,2.099571678,20110719,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6,0,0.09,0.25,0.31,0.34,0.39,0.45,0.49,0.53,0.56,0.59,0.61,10.6,18.1,24.67874016
NCTCR,0,0,SM2_20110720,6,0.99,20110720,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0.09,0.25,0.31,0.34,0.39,0.45,0.49,0.53,0.56,0.59,0.61,10.6,21.6,26.0203125
FNSUP,0,1,SM2_20110721,728,23.26084881,20110721,1,28,0,0,8,2,1,0,0,0,0,6,18,0,0,64,0.04,0.03,0.04,0.06,0.11,0.18,0.25,0.34,0.41,0.47,0.51,0.54,1,22.1,26.48671875
FNSUP,0,1,SM2_20110722,748,28.66063088,20110722,1,31,0,0,8,2,0,0,0,0,0,16,16,0,2,76,0.04,0.03,0.04,0.06,0.11,0.18,0.25,0.34,0.41,0.47,0.51,0.54,1,21.1,25.29765625
FNSUP,0,1,SM2_20110723,1312,37.46827532,20110723,5,30,2,0,12,4,0,1,0,0,0,18,33,0,0,105,0.04,0.03,0.04,0.06,0.11,0.18,0.25,0.34,0.41,0.47,0.51,0.54,1,20.4,24.34765625
SMMIX,1,0,SM2_20110724,315,15.00821137,20110724,0,11,0,0,1,2,1,0,0,2,0,1,15,0,3,36,0.77,0.77,0.67,0.61,0.6,0.64,0.67,0.69,0.71,0.74,0.75,0.77,9.8,20.1,22.86356589
SMMIX,1,0,SM2_20110725,277,12.5083692,20110725,0,5,0,0,3,0,3,0,0,1,0,6,13,1,2,34,0.77,0.77,0.67,0.61,0.6,0.64,0.67,0.69,0.71,0.74,0.75,0.77,9.8,20.1,23.00697674
SMMIX,1,0,SM2_20110726,668,26.1884754,20110726,2,11,0,0,1,0,1,0,0,0,1,2,33,0,13,64,0.77,0.77,0.67,0.61,0.6,0.64,0.67,0.69,0.71,0.74,0.75,0.77,9.8,21.1,24.73565891
