detector_date,max_temp,min_temp,temp_sunset,mean_temp
SM1_20110714,23.1,17.1,19.6,20.72063492
SM1_20110715,22.2,16.3,18.4,20.35714286
SM1_20110716,24.1,17.9,20.9,21.37952756
SM1_20110717,25.1,15.3,21.7,20.58110236
SM1_20110718,25.9,16.6,22.6,22.08897638
SM1_20110719,29.5,16.6,26.7,23.43385827
SM1_20110720,31,19.3,28.5,24.29296875
SM1_20110721,29.8,20.9,25.7,25.64453125
SM1_20110722,27.9,19.9,24.2,24.06953125
SM1_20110723,25.5,19.1,22.2,22.85
SM1_20110724,27,17.9,24.6,21.23565891
SM1_20110725,28,18.4,25.7,21.42713178
SM1_20110726,29,18.8,26.7,23.34186047
SM1_20110727,29.8,17.9,27.9,22.86296296
SM1_20110728,28.5,19.4,24.6,24.18692308
SM1_20110729,25.4,19.6,21.7,23.73923077
SM1_20110730,25.5,19.1,22.2,23.07175573
SM1_20110731,27,19.1,23.1,24.25572519
SM1_20110803,29.7,19.6,27.4,23.28030303
SM1_20110804,28.9,19.1,26.4,22.92030075
SM1_20110805,30.2,20.4,28.2,23.15185185
SM1_20110806,23.6,17.9,19.6,21.57744361
SM1_20110807,23.9,17.4,19.9,20.82238806
SM1_20110808,24.7,17.3,21.6,20.44850746
SM1_20110809,27.2,16.1,24.4,21.31119403
SM1_20110810,25.4,15,22.9,19.97555556
SM1_20110811,23.7,17.6,21.4,19.87481481
SM1_20110812,25.7,18.4,23.4,21.97222222
SM1_20110813,28.4,17.6,24.2,23.22867647
SM1_20110814,28,14.5,24.4,21.84452555
SM1_20110815,27.5,19.4,23.9,23.08686131
SM1_20110816,27.2,19.1,23.9,22.82043796
SM1_20110817,27,17,24.1,21.73405797
SM1_20110818,25.1,16.1,22.2,20.06376812
SM1_20110819,22.4,19.6,19.9,20.74333333
SM1_20110820,29.3,19.1,26.5,23.61510791
SM1_20110821,31.3,19.4,29.3,23.59285714
SM1_20110822,34.6,18.8,32.5,23.655
SM1_20110823,31.5,16.1,29,22.27285714
SM1_20110824,29.2,17.1,26.7,22.34964539
SM1_20110825,29.7,17.3,27.4,21.21489362
SM1_20110826,28,17.9,26,22.20909091
SM1_20110827,27.9,16.6,23.7,21.72323944
SM1_20110828,27,13.3,23.7,19.95384615
SM1_20110829,26.9,12,23.9,19.11748252
SM1_20120609,29.7,22.7,25.4,27.6233871
SM1_20120610,28.4,14.3,25.2,21.70887097
SM1_20120611,27.9,15.8,25.1,22.26585366
SM1_20120612,31.3,17,28.2,24.0504065
SM1_20120613,27.2,13.2,23.4,21.04146341
SM1_20120614,27.5,12.7,24.4,20.87479675
SM1_20120615,29.7,15,26.5,22.49512195
SM1_20120616,35.8,17,33.3,25.10731707
SM1_20120617,29.8,17.1,27.4,22.5699187
SM1_20120618,24.9,15,22.6,20.06097561
SM1_20120619,29.8,12.8,27.9,20.36422764
SM1_20120620,28.7,15.5,24.7,22.50243902
SM1_20120621,21.4,12.2,17.3,17.56747967
SM1_20120622,20.6,13.2,16.1,18.53821138
SM1_20120623,21.6,9,18.4,15.65609756
SM1_20120624,22.4,9.5,19.8,15.93821138
SM1_20120625,22.2,10.2,18.9,16.7300813
SM1_20120626,27.2,13.5,23.2,21.33414634
SM1_20120627,30.2,12.8,27.4,21.86422764
SM1_20120628,28.9,15.8,26.2,20.81788618
SM1_20120629,29,17,26.4,22.11463415
SM1_20120630,26.2,18.9,23.6,22.70731707
SM1_20120701,24.2,17.9,21.6,21.25725806
SM1_20120702,23.6,13.6,21.2,18.40564516
SM1_20120703,25.1,14.5,23.2,18.46854839
SM1_20120704,26,19.1,21.9,23.32580645
SM1_20120705,25.4,18.9,22.1,21.79919355
SM1_20120706,27.4,14.3,24.2,21.14758065
SM1_20120707,30.5,18.1,28,23.2312
SM1_20120708,25.5,13.8,22.7,19.9984
SM1_20120709,26,17.3,23.2,21.0728
SM1_20120710,31.7,15.8,29.3,23.3432
SM1_20120711,32.5,17.3,29.5,24.6904
SM1_20120712,29.2,19.4,26.4,23.40714286
SM1_20120713,24.9,18.1,21.9,22.01269841
SM1_20120714,26.2,16.1,23.6,21.0047619
SM1_20120715,24.1,16.8,21.6,20.61428571
SM1_20120716,23.1,18.9,20.1,21.97874016
SM1_20120717,22.7,14.6,20.1,17.80708661
SM1_20120718,27,18.6,23.4,22.3015748
SM1_20120719,26.7,15,23.7,20.61496063
SM1_20120720,33.3,17.6,30.5,25.26640625
SM2_20110714,24.2,15.6,19.8,20.7452381
SM2_20110715,23.1,18.1,18.8,21.77539683
SM2_20110716,25.2,19.4,21.2,22.6480315
SM2_20110717,27,17.4,23.9,22.6023622
SM2_20110718,27.7,20.1,24.2,24.23937008
SM2_20110719,30.5,18.1,27.5,24.67874016
SM2_20110720,32.2,21.6,29.3,26.0203125
SM2_20110721,30.8,22.1,26.5,26.48671875
SM2_20110722,28.9,21.1,24.9,25.29765625
SM2_20110723,26.7,20.4,23.1,24.34765625
SM2_20110724,27.9,20.1,25.2,22.86356589
SM2_20110725,28.5,20.1,25.9,23.00697674
SM2_20110726,29.3,21.1,26.9,24.73565891
SM2_20110727,30.5,19.3,28.2,23.93923077
SM2_20110728,28,20.3,24.1,24.58
SM2_20110729,26.5,20.4,22.7,24.65153846
SM2_20110730,26.7,20.3,23.1,24.16564885
SM2_20110731,28,20.4,23.7,25.41221374
SM2_20110803,30.8,19.9,28.4,24.14772727
SM2_20110804,30,19.6,27.4,23.99398496
SM2_20110805,31,19.6,28.2,23.96240602
SM2_20110806,26.9,18.6,22.6,23.53684211
SM2_20110807,26.5,18.6,22.7,22.69179104
SM2_20110808,27.4,18.8,23.9,23.26940299
SM2_20110809,28.2,18.9,24.7,23.2380597
SM2_20110810,25.7,18.9,22.2,22.4637037
SM2_20110811,25.4,18.3,22.1,21.3
SM2_20110812,27.9,17.4,25.1,21.50661765
SM2_20110813,30.7,18.9,26.5,24.66323529
SM2_20110814,29.8,15.3,26.2,22.88978102
SM2_20110815,29.5,20.9,26,24.56642336
SM2_20110816,28.5,20.3,25.2,23.81386861
SM2_20110817,29.7,19.3,26.9,24.17246377
SM2_20110818,27.9,18.6,25.1,22.53623188
SM2_20110819,25.1,20.6,22.4,22.40083333
SM2_20110820,27.9,20.1,23.6,24.44100719
SM2_20110821,28.5,20.3,25.2,24.30642857
SM2_20110822,31.3,20.1,28.2,24.41928571
SM2_20110823,35.5,18.4,32.7,25.04142857
SM2_20110824,32.3,19.3,29.8,24.82269504
SM2_20110825,32.8,19.4,30.7,23.95177305
SM2_20110826,31.5,17.8,29.7,22.86478873
SM2_20110827,33.8,18.9,30.2,25.33309859
SM2_20110828,33.1,17.4,30.2,24.63146853
SM2_20110829,33.1,16.1,30.5,23.7041958
SM2_20120609,31.7,24.6,27,29.45564516
SM2_20120610,29.8,15.3,26.9,22.8766129
SM2_20120611,30.8,17.3,27.7,23.83252033
SM2_20120612,33.6,18.9,30.2,26.2300813
SM2_20120613,28.7,14.6,24.6,22.53089431
SM2_20120614,27.9,14,24.6,21.22764228
SM2_20120615,29.5,16,26,23.03658537
SM2_20120616,36.6,18.8,34.1,26.95365854
SM2_20120617,30.7,18.6,27.9,24.1097561
SM2_20120618,25.9,16,23.1,21.15284553
SM2_20120619,30.7,14.8,28.4,22.16422764
SM2_20120630,27.9,20.3,23.7,25.01869919
SM2_20120701,27.7,20.3,24.7,24.1766129
SM2_20120702,26,13.8,23.2,19.51532258
SM2_20120703,27.2,15.5,24.7,20.7733871
SM2_20120704,26.5,19.3,22.4,23.47258065
SM2_20120705,26.5,18.8,23.1,21.82016129
SM2_20120706,28.2,14.3,24.9,20.8733871
SM2_20120707,32.2,18.6,29.7,24.0368
SM2_20120708,27.5,13.6,24.6,20.5072
SM2_20120709,27.9,17.8,24.9,21.3424
SM2_20120710,33.3,16,31,24.0288
SM2_20120711,36.3,17.3,32.8,25.7192
SM2_20120712,29.8,20.4,26.9,24.23492063
SM2_20120713,25.1,19.1,22.1,22.52619048
SM2_20120714,28.2,17.8,25.4,22.16269841
SM2_20120715,25.7,17.4,22.9,21.80952381
SM2_20120716,23.9,19.8,20.9,22.68425197
SM2_20120717,23.2,13.2,20.4,17.53779528
SM2_20120718,25.4,19.9,21.4,22.09166667
SM3_20110714,23.2,15,18.9,19.8047619
SM3_20110715,21.9,17.4,17.8,20.98015873
SM3_20110716,24.4,18.9,20.4,21.88503937
SM3_20110717,25.2,15.8,22.2,20.64409449
SM3_20110718,25.4,17.6,22.1,22.04094488
SM3_20110719,28.2,16.5,25.4,22.5023622
SM3_20110720,29.8,19.6,27.4,23.7703125
SM3_20110721,30.3,20.8,26.5,25.465625
SM3_20110722,28.7,19.8,25.4,24.43828125
SM3_20110723,27,19.1,23.7,23.271875
SM3_20110724,27.7,19.3,24.7,22.71162791
SM3_20110725,28.4,15.1,25.7,21.74806202
SM3_20110726,28.9,20.1,26.2,24.22093023
SM3_20110727,30.3,15.8,28,22.83538462
SM3_20110728,28.7,19.1,24.6,24.23076923
SM3_20110729,25.5,19.6,21.7,23.79461538
SM3_20110730,25.9,18.9,22.2,23.12137405
SM3_20110731,27.4,19.4,23.2,24.69389313
